tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
ising1d-n4-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-62e78efa8508,OK,183.464,4,5,64,9000,1,333,2000,0.05,0.002707368548826876,delta_ib.mean,-0.5982272962601413,0.0014839750817868518,0.001223393467040024
ising1d-n3-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-c6ca842a7537,OK,177.833,3,5,64,6000,2,111,2000,0.05,0.0022109642518913794,delta_ib.mean,-0.7049479614889855,0.001955603189598443,0.0002553610622929364
ising1d-n3-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-1cf2d5fbfa41,OK,198.519,3,5,64,9000,2,111,2000,0.05,0.0022109642518913794,delta_ib.mean,-0.7049479614889855,0.0024708925042503382,-0.0002599282523589588
ising1d-n4-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-561264bbaeac,OK,179.927,4,5,64,6000,2,111,2000,0.05,0.0010296047419123184,delta_ib.mean,-0.9589253616801232,0.0030272858499498555,-0.001997681108037537
ising1d-n4-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-b38f70c3d596,OK,182.128,4,5,64,9000,2,111,2000,0.05,0.0010296047419123184,delta_ib.mean,-0.9589253616801232,0.003622022067956896,-0.0025924173260445777
ising1d-n3-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-78a0592e11ba,OK,184.171,3,5,64,6000,2,333,2000,0.05,0.0019994740833162153,delta_ib.mean,-0.7504156812872185,0.004252149719115872,-0.002252675635799657
ising1d-n3-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-030511f2eb44,OK,184.406,3,5,64,9000,2,333,2000,0.05,0.0019994740833162153,delta_ib.mean,-0.7504156812872185,0.00491454173067362,-0.002915067647357405
ising1d-n4-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-bef04c3e31e6,OK,171.58,4,5,64,6000,2,333,2000,0.05,0.0008868968001827592,delta_ib.mean,-0.9896057699055112,0.005605910914696963,-0.004719014114514203
ising1d-n4-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-09e558d954cb,OK,183.867,4,5,64,9000,2,333,2000,0.05,0.0008868968001827592,delta_ib.mean,-0.9896057699055112,0.006322826281078165,-0.005435929480895406
ising1d-n3-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-56b10e06890e,OK,163.733,3,7,32,6000,1,111,2000,0.05,0.012538936871661318,delta_ib.mean,1.5154359377872948,0.007061730064173379,0.0054772068074879394
ising1d-n3-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-c634fbcf196e,OK,184.804,3,7,32,9000,1,111,2000,0.05,0.012538936871661318,delta_ib.mean,1.5154359377872948,0.007818955378577597,0.004719981493083721
ising1d-n4-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-ad7d04853f0f,OK,168.645,4,7,32,6000,1,111,2000,0.05,0.010026818347372651,delta_ib.mean,0.975362127586925,0.008590744416417571,0.00143607393095508
ising1d-n4-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-5e8262cee63e,OK,158.034,4,7,32,9000,1,111,2000,0.05,0.010026818347372651,delta_ib.mean,0.975362127586925,0.00937326709585674,0.000653551251515911
ising1d-n3-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-6b308edc26c6,OK,173.045,3,7,32,6000,1,333,2000,0.05,0.010263983691746479,delta_ib.mean,1.0263496864719999,0.010162640068267089,0.00010134362347938991
ising1d-n3-k7-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-4ee7529fc6ed,OK,175.342,3,7,32,9000,1,333,2000,0.05,0.010263983691746479,delta_ib.mean,1.0263496864719999,0.010954945989742872,-0.000690962297996393
ising1d-n4-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-d4db064226c2,OK,169.572,4,7,32,6000,1,333,2000,0.05,0.008116180343874272,delta_ib.mean,0.5645990459543867,0.011746252961319394,-0.0036300726174451226
ising1d-n4-k7-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-e531ca9845d9,OK,169.354,4,7,32,9000,1,333,2000,0.05,0.008116180343874272,delta_ib.mean,0.5645990459543867,0.012532634041422762,-0.00441645369754849
ising1d-n3-k7-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-e58c31403bde,OK,163.777,3,7,32,6000,2,111,2000,0.05,0.015478259188665217,delta_ib.mean,2.1473531772817083,0.013310186733718027,0.0021680724549471894
