tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
hamiltonian-n4-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-499401e18041,OK,38.204,4,5,64,9000,1,333,2000,0.05,0.0,delta_ib.mean,0.0,-9.688359321549962e-05,9.688359321549962e-05
hamiltonian-n3-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-798c87448e32,OK,38.404,3,5,64,6000,2,111,2000,0.05,0.0,delta_ib.mean,0.0,0.00017740864968605262,-0.00017740864968605262
hamiltonian-n3-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-4f7acfa61e47,OK,37.717,3,5,64,9000,2,111,2000,0.05,0.0,delta_ib.mean,0.0,0.0001914866329703745,-0.0001914866329703745
hamiltonian-n4-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-6f4f4d5f2208,OK,38.295,4,5,64,6000,2,111,2000,0.05,0.0,delta_ib.mean,0.0,-6.295116612290832e-05,6.295116612290832e-05
hamiltonian-n4-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-ef88bcc0aeed,OK,36.939,4,5,64,9000,2,111,2000,0.05,0.0,delta_ib.mean,0.0,-0.00043586754854237,0.00043586754854237
hamiltonian-n3-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-cf914ac512de,OK,39.073,3,5,64,6000,2,333,2000,0.05,-0.0007004397181410917,delta_ib.mean,-1.436842416214199,-0.0007073607162926059,6.920998151514236e-06
hamiltonian-n3-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-36416405bb43,OK,38.455,3,5,64,9000,2,333,2000,0.05,-0.0007004397181410917,delta_ib.mean,-1.436842416214199,-0.0007173362392378244,1.689652109673268e-05
hamiltonian-n4-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-31c0a4aa4616,OK,37.187,4,5,64,6000,2,333,2000,0.05,0.0,delta_ib.mean,0.0,-0.0004599117385526016,0.0004599117385526016
hamiltonian-n4-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-c90fd27e33f5,OK,29.735,4,5,64,9000,2,333,2000,0.05,0.0,delta_ib.mean,0.0,-8.688561521218854e-05,8.688561521218854e-05
hamiltonian-n3-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-6e2cf5826a4b,OK,27.891,3,7,32,6000,1,111,2000,0.05,0.0,delta_ib.mean,0.0,0.00018177562062472486,-0.00018177562062472486
hamiltonian-n3-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-1f29b8e48b54,OK,27.215,3,7,32,9000,1,111,2000,0.05,0.0,delta_ib.mean,0.0,0.00018764747596884516,-0.00018764747596884516
hamiltonian-n4-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-35f0cf91726e,OK,26.828,4,7,32,6000,1,111,2000,0.05,0.0,delta_ib.mean,0.0,-7.27325721705409e-05,7.27325721705409e-05
hamiltonian-n4-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-8f1358346b3a,OK,26.283,4,7,32,9000,1,111,2000,0.05,0.0,delta_ib.mean,0.0,-0.00044582329190521775,0.00044582329190521775
hamiltonian-n3-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-563eb00e2773,OK,27.053,3,7,32,6000,1,333,2000,0.05,-0.0014008794362821834,delta_ib.mean,-2.873684832428398,-0.0007116200817940726,-0.0006892593544881107
hamiltonian-n3-k7-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-710b1901998d,OK,26.524,3,7,32,9000,1,333,2000,0.05,-0.0014008794362821834,delta_ib.mean,-2.873684832428398,-0.000713387558910912,-0.0006874918773712714
hamiltonian-n4-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-5b84d93ea680,OK,26.405,4,7,32,6000,1,333,2000,0.05,0.0,delta_ib.mean,0.0,-0.0004500834751426667,0.0004500834751426667
hamiltonian-n4-k7-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-c9cc9aa31499,OK,27.766,4,7,32,9000,1,333,2000,0.05,0.0,delta_ib.mean,0.0,-7.697331135802599e-05,7.697331135802599e-05
hamiltonian-n3-k7-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-f86f3b9ffad3,OK,26.792,3,7,32,6000,2,111,2000,0.05,0.0,delta_ib.mean,0.0,0.00018592686521023808,-0.00018592686521023808
hamiltonian-n3-k7-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-4bd51655a8c2,OK,26.437,3,7,32,9000,2,111,2000,0.05,0.0,delta_ib.mean,0.0,0.00018358975019542608,-0.00018358975019542608
hamiltonian-n4-k7-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-e6ba3fe95761,OK,27.016,4,7,32,6000,2,111,2000,0.05,0.0,delta_ib.mean,0.0,-8.260650350248953e-05,8.260650350248953e-05
